@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute '' numeric

@data
11,'2024/04/07 20:53:53:068',1,0.369639,0.377084,0.386037,0.410212,0.449909,0.493263,0.53605,0.577547,0.615403,0.645823,0.675483,0.70217,0.718298,0.724311,0.724264,0.724219,0.414516,0.442055,0.478641,0.518421,0.553009,0.606996,0.634471,0.666281,0.694532,0.712076,0.583613,0.587003,0.591183,0.595166,0.545716,0.566841,0.589461,0.608031,0.624289,0.461786,0.48523,0.506181,0.525373,0.50583,0.484323,0.622203,0.642954,0.661571,0.678378,0.661941,0.643417,0.490524,0.528867,0.565477,0.586172,0.605937,0.633699,0.655093,0.633752,0.606095,0.584662,0.562428,0.526708,0.500405,0.56473,0.585451,0.605142,0.645387,0.605818,0.58541,1
12,'2024/04/07 20:53:53:101',1,0.369818,0.377283,0.386331,0.410198,0.449471,0.492789,0.535532,0.577886,0.614984,0.645483,0.675846,0.702153,0.71791,0.724536,0.72465,0.724352,0.414703,0.441392,0.476583,0.51558,0.550016,0.608637,0.637047,0.667857,0.693789,0.709259,0.582511,0.585828,0.589872,0.593685,0.544219,0.565287,0.588089,0.607095,0.623324,0.460912,0.483719,0.504901,0.523834,0.504884,0.483497,0.622482,0.641775,0.660641,0.67807,0.661046,0.642774,0.487547,0.525063,0.562782,0.584356,0.606714,0.63393,0.656191,0.634864,0.608535,0.584701,0.561478,0.524428,0.497725,0.562037,0.583856,0.606252,0.646294,0.607541,0.584789,1
13,'2024/04/07 20:53:53:133',1,0.371278,0.378536,0.387712,0.410812,0.450456,0.494267,0.536358,0.579159,0.618084,0.648658,0.677239,0.702214,0.716788,0.723032,0.724405,0.725326,0.412076,0.438212,0.473606,0.512737,0.546916,0.605936,0.634603,0.665982,0.692528,0.709497,0.580791,0.584322,0.588359,0.592089,0.54408,0.564907,0.586385,0.604369,0.620054,0.46305,0.484881,0.504174,0.523361,0.504219,0.484608,0.619615,0.638764,0.657179,0.67401,0.656885,0.639303,0.490315,0.527349,0.563098,0.582794,0.603353,0.630213,0.653885,0.63068,0.604023,0.582006,0.560717,0.525576,0.500455,0.562212,0.582319,0.602734,0.644634,0.603082,0.582412,1
14,'2024/04/07 20:53:53:166',1,0.369191,0.376057,0.385226,0.408825,0.449122,0.493348,0.535874,0.578384,0.616835,0.646892,0.677565,0.703666,0.718803,0.724596,0.72569,0.726446,0.41482,0.441762,0.476938,0.514638,0.548033,0.606926,0.63362,0.664085,0.690599,0.708418,0.581616,0.584911,0.589,0.592671,0.542973,0.563886,0.586548,0.605568,0.621112,0.461695,0.483903,0.504044,0.523002,0.503913,0.483549,0.619709,0.639162,0.657219,0.67491,0.657431,0.639793,0.488551,0.525186,0.562376,0.583832,0.606444,0.63318,0.654149,0.633593,0.607781,0.58387,0.560449,0.524437,0.498372,0.561444,0.583246,0.60596,0.644619,0.606956,0.583967,1
15,'2024/04/07 20:53:53:199',1,0.370475,0.37704,0.38594,0.409841,0.449215,0.493112,0.534825,0.578253,0.617942,0.649354,0.678425,0.703771,0.717913,0.724127,0.724069,0.72287,0.41209,0.439728,0.475186,0.513519,0.547173,0.604456,0.631809,0.662255,0.6879,0.705663,0.580207,0.584189,0.589074,0.593493,0.542645,0.564626,0.586953,0.605552,0.620998,0.461733,0.483829,0.50351,0.522636,0.50364,0.483501,0.616479,0.635932,0.654609,0.671755,0.654502,0.636372,0.488791,0.525716,0.56226,0.582774,0.604193,0.630899,0.654081,0.63158,0.605433,0.582629,0.560479,0.525022,0.498824,0.561623,0.582376,0.60376,0.644539,0.604687,0.582868,1
16,'2024/04/07 20:53:53:233',1,0.368405,0.376757,0.38686,0.411059,0.451147,0.494957,0.536954,0.578064,0.614635,0.645081,0.675443,0.700557,0.716228,0.72304,0.723314,0.722917,0.409436,0.437178,0.473687,0.513848,0.548756,0.602189,0.630567,0.662853,0.690469,0.708643,0.580348,0.584363,0.589245,0.593772,0.544436,0.565614,0.588199,0.605955,0.620867,0.460334,0.48284,0.502527,0.52166,0.502828,0.482752,0.616576,0.635827,0.654491,0.672301,0.654436,0.636196,0.489469,0.526316,0.563871,0.584453,0.605514,0.632793,0.653478,0.633319,0.606857,0.584419,0.561552,0.525162,0.498692,0.563076,0.584023,0.605085,0.643744,0.606122,0.584425,1
17,'2024/04/07 20:53:53:266',1,0.371596,0.377892,0.386817,0.410659,0.450354,0.492546,0.534794,0.57686,0.614548,0.644192,0.673895,0.700753,0.716568,0.722679,0.723734,0.72408,0.411863,0.43904,0.475832,0.515627,0.550856,0.604283,0.632496,0.663963,0.691335,0.708934,0.581768,0.58522,0.589383,0.593244,0.543888,0.564563,0.586623,0.605035,0.620938,0.460759,0.483477,0.504142,0.523703,0.504337,0.483338,0.61968,0.639933,0.65919,0.676601,0.659568,0.64059,0.487169,0.524628,0.56211,0.582797,0.603777,0.630211,0.652863,0.630431,0.604647,0.581889,0.559172,0.522595,0.497492,0.561205,0.582278,0.603394,0.642736,0.603676,0.582103,1
18,'2024/04/07 20:53:53:299',1,0.36808,0.376148,0.385049,0.407774,0.448178,0.491814,0.535327,0.578341,0.615306,0.644013,0.672456,0.69746,0.712155,0.718665,0.72003,0.719487,0.413061,0.439152,0.474769,0.513381,0.547305,0.605922,0.631966,0.66176,0.688542,0.705093,0.581117,0.585069,0.589499,0.593799,0.545865,0.566511,0.588839,0.606479,0.621338,0.462562,0.484489,0.504856,0.52447,0.504442,0.483903,0.617697,0.638144,0.656839,0.673746,0.656793,0.638191,0.489445,0.527323,0.56508,0.5855,0.605637,0.632271,0.653613,0.633074,0.60733,0.585511,0.563349,0.526161,0.499446,0.564419,0.585226,0.605294,0.643588,0.606256,0.585715,1
19,'2024/04/07 20:53:53:332',1,0.368548,0.375815,0.384593,0.408013,0.447005,0.489996,0.533082,0.574741,0.612645,0.643372,0.672233,0.698853,0.714678,0.72146,0.722879,0.7223,0.411358,0.438334,0.475377,0.515363,0.551299,0.603536,0.631627,0.663041,0.690353,0.707559,0.580089,0.583999,0.588626,0.592946,0.543667,0.564739,0.587085,0.605184,0.620759,0.460255,0.482629,0.502578,0.522632,0.5027,0.482318,0.61696,0.637053,0.655503,0.673694,0.655263,0.637207,0.485165,0.523133,0.561604,0.582669,0.603348,0.631148,0.654662,0.631792,0.604294,0.58175,0.559144,0.521552,0.495327,0.560722,0.582172,0.602861,0.644712,0.603356,0.582097,1
20,'2024/04/07 20:53:53:366',1,0.370374,0.37751,0.386543,0.410124,0.450127,0.493423,0.53447,0.576286,0.614128,0.643585,0.672954,0.699405,0.715963,0.723022,0.723482,0.722953,0.40874,0.433171,0.468655,0.507568,0.54289,0.604157,0.634656,0.667773,0.695022,0.711354,0.579786,0.583807,0.588636,0.593014,0.54286,0.56366,0.585724,0.604612,0.62041,0.458924,0.480112,0.500585,0.520391,0.501106,0.480095,0.618003,0.637736,0.656676,0.674415,0.657337,0.638861,0.48654,0.524054,0.560696,0.5808,0.600772,0.626729,0.650844,0.626782,0.600747,0.57955,0.55811,0.52203,0.495965,0.559771,0.580097,0.600443,0.641112,0.600106,0.579838,1
